ISO_Code,Countries,region,HUMAN FREEDOM (Score),HUMAN FREEDOM (Rank),HUMAN FREEDOM (Quartile),ECONOMIC FREEDOM (Score),Income per Capita,Democracy,PERSONAL FREEDOM (Score)
SVN,Slovenia,Eastern Europe,8.01,36,1,7,29097,7.26,9.02
ZAF,South Africa,Sub-Saharan Africa,7.07,68,2,6.63,12425,7.47,7.5
ESP,Spain,Western Europe,8.14,30,1,7.51,32216,8.02,8.77
LKA,Sri Lanka,South Asia,5.91,135,4,6.65,11062,6.63,5.17
SUR,Suriname,Sub-Saharan Africa,7.29,56,2,6.67,14767,6.4,7.91
SWZ,Swaziland,Latin America & the Caribbean,6.66,91,3,6.79,8054,2.91,6.53
SWE,Sweden,Western Europe,8.48,13,1,7.65,45488,9.39,9.32
CHE,Switzerland,Western Europe,8.89,1,1,8.44,56511,9.01,9.33
SYR,Syria,Middle East & North Africa,4.04,159,4,5.22,,1.79,2.86
TWN,Taiwan,East Asia,8.34,18,1,7.7,,7.44,8.98
TJK,Tajikistan,Caucasus & Central Asia,6.37,118,3,6.8,2641,2.14,5.93
TZA,Tanzania,Sub-Saharan Africa,6.59,99,3,6.92,2491,5.66,6.27
THA,Thailand,South Asia,6.52,105,3,6.75,15237,4.75,6.29
TLS,TimorLeste,South Asia,5.96,131,4,6.29,2151,7.06,5.62
TGO,Togo,Sub-Saharan Africa,6.07,129,4,5.7,1351,3.23,6.44
TTO,Trinidad and Tobago,Latin America & the Caribbean,6.77,84,3,6.5,31283,6.82,7.04
TUN,Tunisia,Middle East & North Africa,6.44,111,3,6.32,10750,6.93,6.55
TUR,Turkey,Middle East & North Africa,6.77,84,3,6.82,23382,5.67,6.71
UGA,Uganda,Sub-Saharan Africa,6.64,94,3,7.25,1693,4.98,6.03
UKR,Ukraine,Eastern Europe,5.95,132,4,5.38,7465,5.36,6.53
ARE,United Arab Emirates,Middle East & North Africa,6.39,116,3,7.5,65975,2.7,5.29
GBR,United Kingdom,Western Europe,8.55,9,1,8.05,38509,8.04,9.05
USA,United States,North America,8.39,17,1,7.94,52790,8.01,8.83
URY,Uruguay,Latin America & the Caribbean,7.79,42,2,7.16,19831,7.72,8.43
VEN,Venezuela,Latin America & the Caribbean,4.34,158,4,2.92,17665,4.85,5.76
VNM,Vietnam,South Asia,6.17,124,4,6.3,5667,3.68,6.05
YEM,"Yemen, Rep.",Middle East & North Africa,4.59,156,4,6.17,2641,2.58,3.02
ZMB,Zambia,Sub-Saharan Africa,6.43,112,3,6.75,3627,6.01,6.1
ZWE,Zimbabwe,Sub-Saharan Africa,5.39,146,4,5.61,1891,3.01,5.17
